"name","code","localCode","address","lon","lat","num","quyu"
"枣林前街站","01020006","0102020006","枣林前街与南线阁街交叉口西北侧","116.358848","39.889166","45","0102"
"菜园街站","01020007","0102040007","菜园街一号院南侧","116.360182","39.887405","20","0102"
"基业大厦站","01020008","0102040008","南线阁街基业大厦","116.359953","39.894356","25","0102"
"油坊胡同站","01020009","0102040009","油坊胡同与北新平胡同交叉口东南侧","116.383848","39.911906","40","0102"
"地铁车公庄E口站","01020010","0102010010","北礼士路与车公庄大街西北角","116.359872","39.938562","40","0102"
"大观园西门站","01020011","0102040011","南菜园街 大观园西门南侧","116.360676","39.878719","25","0102"
"消防总队站","01020012","0102020012","西直门南小街 北京消防总队门口南侧","116.365159","39.945878","35","0102"
"西直门南小街站","01020013","0102050013","西直门南小街环境保护部对面（过街桥下）","116.365707","39.938961","40","0102"
"北礼士路62号站","01020014","0102020014","北礼士路62号院1号楼","116.360124","39.935081","30","0102"
"西直门南小街22号站","01020015","0102040015","西直门南小街22号楼前（北京燃气大厦）","116.365536","39.942961","30","0102"
"南运巷站","01020016","0102020016","枣林前街与广安门南街交叉口以东（南运巷3号楼前）","116.357353","39.888917","30","0102"
"华北电力站","01020017","0102040017","广安门南街 国家电网华北电力交易中心西门北侧","116.357052","39.894675","45","0102"
"西城委员会站","01020018","0102080018","二龙路西街西城委员会西侧对面（停车场前）","116.372754","39.918094","35","0102"
"京几道小区站","01020019","0102020019","中京畿道京几道小区南门东侧","116.374645","39.915129","55","0102"
"二龙路站","01020020","0102020020","二龙路药妆大药房南侧","116.373396","39.915521","35","0102"
"北礼士路站","01020021","0102020021","北礼士路北口西侧（靠近西直门桥）","116.358678","39.945283","40","0102"
"西城财政局站","01020022","0102080022","丰盛胡同 西城财政局门口西侧","116.374703","39.924513","40","0102"
"华远街站","01020023","0102050023","华远街北师大附属中学国际部东门北侧","116.377623","39.917059","50","0102"
"宣武门西大街甲91号站","01020024","0102040024","宣武门西大街甲91号楼前（新华社南门西侧)","116.376231","39.905811","55","0102"
"宣武门西大街4号站","01020025","0102020025","宣武门西大街4号楼前（北京环宇科苑中医研究所）","116.377574","39.905396","40","0102"
"椿树园站","01020026","0102020026","永光路椿树园9号楼对面","116.382986","39.901134","35","0102"
"成方街站","01020027","0102040027","金融大街与成方街交叉口以北","116.365941","39.914638","50","0102"
"信达大厦站","01020028","0102040028","闹市口大街中国信达大厦北侧","116.369588","39.909595","40","0102"
